Joshua Primo,SAS,3946800,4144320,4341600,5982725,,,1st Round Pick,8091120
Jake Layman,MIN,3940184,,,,,,Sign and Trade,3940184
Anfernee Simons,POR,3938818,,,,,,1st Round Pick,3938818
Justise Winslow,POR,3902439,4097561,,,,,Mini MLE,8000000
Jevon Carter,BRK,3833333,4117284,,,,,Early Bird,7950617
Kira Lewis Jr.,NOP,3822240,4004280,5722116,,,,1st Round Pick,7826520
Romeo Langford,SAS,3804360,5634257,,,,,1st Round Pick,9438617
Facundo Campazzo,DEN,3804150,,,,,,Bi-Annual Exception,3804150
Landry Shamet,PHO,3768342,9598214,10366071,11133929,11901786,,1st Round Pick,46768342
Chris Duarte,IND,3749520,3936960,4124280,5893596,,,1st Round Pick,7686480
Alex Len,SAC,3731707,3918293,,,,,Bi-Annual Exception,7650000
Robert Williams,BOS,3661976,10700000,11556000,12412000,13268000,,1st Round Pick,51597976
Aaron Nesmith,BOS,3631200,3804360,5634257,,,,1st Round Pick,7435560
Sekou Doumbouya,HOU,,,,,,,,3613680
Moses Moody,GSW,3562080,3740160,3918480,5803269,,,1st Round Pick,7302240
Boban Marjanović,DAL,3500000,3500000,,,,,Early Bird,7000000
Mike Muscala,OKC,3500000,3500000,,,,,MLE,3500000
Cole Anthony,ORL,3449400,3613680,5539771,,,,1st Round Pick,7063080
Corey Kispert,WAS,3383640,3552960,3722040,5705887,,,1st Round Pick,6936600
Trey Burke,DAL,3333333,3492063,,,,,MLE,3333333
Georges Niang,PHI,3300000,3465000,,,,,MLE,6765000
Chuma Okeke,ORL,3277080,3433320,5266713,,,,1st Round Pick,6710400
Isaiah Stewart,DET,3277080,3433320,5266713,,,,1st Round Pick,6710400
Nickeil Alexander-Walker,UTA,3261480,5009633,,,,,1st Round Pick,8271113
Alperen Şengün,HOU,3214680,3375480,3536400,5424838,,,1st Round Pick,6590160
Nicolas Batum,LAC,12213507,12372008,,,,,Non Bird,3170029
Jon Leuer,MIL,3169347,,,,,,,3169347
Aleksej Pokusevski,OKC,3113160,3261480,5009633,,,,1st Round Pick,6374640
Goga Bitadze,IND,3098400,4765339,,,,,1st Round Pick,7863739
Trey Murphy III,NOP,3053760,3206640,3359280,5159854,,,1st Round Pick,6260400
Sterling Brown,DAL,3000000,3000000,,,,,Bi-Annual Exception,6000000
Michael Carter-Williams,ORL,3000000,,,,,,,3000000
Frank Jackson,DET,3000000,3150000,,,,,Cap Space,3000000
Luka Šamanić,SAS,,,,,,,,2959080
Josh Green,DAL,2957520,3098400,4765339,,,,1st Round Pick,6055920
Tre Mann,OKC,2901240,3046200,3191280,4908189,,,1st Round Pick,5947440
Dewayne Dedmon,DET,5256308,2866667,2866667,2866667,,,,11466668
Andrew Nicholson,POR,2844429,2844429,2844429,,,,,8533287
Matisse Thybulle,PHI,2840160,4379527,,,,,1st Round Pick,7219687
Saddiq Bey,DET,2824320,2959080,4556983,,,,1st Round Pick,5783400
Kai Jones,CHO,2770560,2909160,3047760,4693550,,,1st Round Pick,5679720
Brandon Clarke,MEM,2726880,4343920,,,,,1st Round Pick,7070800
Precious Achiuwa,TOR,2711280,2840160,4379527,,,,1st Round Pick,5551440
Jalen Johnson,ATL,2659560,2792520,2925480,4511090,,,1st Round Pick,5452080
Paul Millsap,PHI,2641691,,,,,,Minimum Salary,2641691
E'Twaun Moore,ORL,2641691,,,,,,,2641691
Markieff Morris,MIA,2641691,,,,,,Minimum Salary,2641691
Udonis Haslem,MIA,2641691,,,,,,Minimum Salary,2641691
DeAndre Jordan,LAL,10517224,7827907,,,,,Minimum Salary,2641691
Dwight Howard,LAL,2641691,,,,,,Minimum Salary,2641691
Wayne Ellington,LAL,2641691,,,,,,Minimum Salary,2641691
Trevor Ariza,LAL,2641691,,,,,,Minimum Salary,2641691
Carmelo Anthony,LAL,2641691,,,,,,Minimum Salary,2641691
Enes Freedom,HOU,2641691,,,,,,,2641691
Andre Iguodala,GSW,2641691,,,,,,Minimum Salary,2641691
Rajon Rondo,CLE,2641691,,,,,,Minimum Salary,2641691
James Johnson,BRK,2641691,,,,,,Minimum Salary,2641691
Blake Griffin,BRK,32405817,,,,,,Minimum Salary,2641691
LaMarcus Aldridge,BRK,2641691,,,,,,Minimum Salary,2641691
Avery Bradley,LAL,2641691,,,,,,,
Ed Davis,CLE,2641691,,,,,,,
Grant Williams,BOS,2617800,4306281,,,,,1st Round Pick,6924081
Tyrese Maxey,PHI,2602920,2726880,4343920,,,,1st Round Pick,5329800
Keon Johnson,POR,2553120,2681040,2808720,4474291,,,1st Round Pick,5234160
Darius Bazley,OKC,2513040,4264629,,,,,1st Round Pick,6777669
Trey Lyles,SAC,2500000,2625000,,,,,Cap Space,2500000
Zeke Nnaji,DEN,2498760,2617800,4306281,,,,1st Round Pick,5116560
